change_dir;change_followerGap;change_followerSecureGap;change_from;change_id;change_leaderGap;change_leaderSecureGap;change_origLeaderGap;change_origLeaderSecureGap;change_pos;change_reason;change_speed;change_time;change_to;change_type
-1;146.95;46.99;gneE0_3;50;153.18;32.95;101.26;14.43;439.72;keepRight;24.10;75.00;gneE0_2;DEFAULT_VEHTYPE
-1;67.27;1.68;gneE0_2;7;237.52;0.00;104.93;30.00;1707.74;keepRight;28.15;76.00;gneE0_1;DEFAULT_VEHTYPE
-1;49.91;29.99;gneE0_3;40;233.63;4.88;121.47;14.61;775.01;keepRight;25.54;76.00;gneE0_2;DEFAULT_VEHTYPE
-1;24.99;20.44;gneE0_2;39;117.11;26.75;49.91;29.99;720.10;keepRight;26.28;76.00;gneE0_1;DEFAULT_VEHTYPE
-1;23.12;17.36;gneE0_3;61;99.26;0.00;86.06;0.00;238.79;keepRight;22.47;77.00;gneE0_2;DEFAULT_VEHTYPE
-1;14.94;9.18;gneE0_2;21;69.79;38.27;166.86;23.65;1274.47;keepRight;26.36;79.00;gneE0_1;DEFAULT_VEHTYPE
-1;105.07;26.24;gneE0_2;5;None;None;None;None;1930.98;keepRight;28.63;80.00;gneE0_1;DEFAULT_VEHTYPE
-1;48.96;15.29;gneE0_1;12;142.73;29.04;176.86;22.01;1561.58;keepRight;24.66;82.00;gneE0_0;DEFAULT_VEHTYPE
-1;171.01;47.09;gneE0_4;16;448.11;10.64;None;None;1533.52;keepRight;26.08;82.00;gneE0_3;DEFAULT_VEHTYPE
-1;185.09;33.25;gneE0_2;42;50.72;5.26;143.82;2.60;809.34;keepRight;22.43;83.00;gneE0_1;DEFAULT_VEHTYPE
-1;56.99;16.65;gneE0_4;46;267.13;34.75;296.81;32.54;866.39;keepRight;27.11;85.00;gneE0_3;DEFAULT_VEHTYPE
-1;21.95;18.48;gneE0_2;69;169.97;22.85;96.98;18.05;266.10;keepRight;22.53;86.00;gneE0_1;DEFAULT_VEHTYPE
-1;109.62;39.59;gneE0_1;59;70.75;0.00;213.26;8.26;463.47;keepRight;22.41;87.00;gneE0_0;DEFAULT_VEHTYPE
